City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
0,Rikitea,PF,298.88,broken clouds,-23.1203,-134.9692,People ThankYou
1,Soligalich,RU,266.06,snow,59.0778,42.2864,Kurort Im. A.p. Borodina
3,Soyo,AO,298.43,light rain,-6.1349,12.3689,Hotel Mpampa
4,Vaini,TO,300.24,light rain,-21.2,-175.2,Keleti Beach Resort
5,Tasiilaq,GL,262.24,broken clouds,65.6145,-37.6368,The Red House
6,Atuona,PF,299.14,clear sky,-9.8,-139.0333,Villa Enata
7,Hermanus,ZA,295.32,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Jaque,PA,296.79,scattered clouds,7.5175,-78.1703,Aventuras Jaque S.A
10,Mataura,NZ,301.4,overcast clouds,-46.1927,168.8643,Ellie's Villa
11,Kapaa,US,297.14,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Aquiraz,BR,301.03,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
13,Constitucion,CL,287.0,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
14,Lebu,CL,286.92,clear sky,-37.6167,-73.65,Hostal Las Lilas
15,Karratha,AU,304.59,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
16,Norman Wells,CA,256.17,light snow,65.282,-126.8329,Heritage Hotel
17,Ushuaia,AR,277.96,broken clouds,-54.8,-68.3,Albatross Hotel
18,Helong,CN,266.71,few clouds,42.5397,128.9972,Helong Hotel
19,Vardo,NO,264.26,scattered clouds,70.3705,31.1107,Vardø Hotel AS
20,Dingle,PH,301.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
21,Hambantota,LK,302.34,few clouds,6.1241,81.1185,Bungalow 63
22,Cape Town,ZA,295.44,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
24,Sitka,US,275.09,overcast clouds,57.0531,-135.33,Westmark Sitka
25,East London,ZA,296.67,clear sky,-33.0153,27.9116,Tu Casa
26,Busselton,AU,298.75,clear sky,-33.65,115.3333,Observatory Guest House
27,Bluff,NZ,290.2,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
