City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Porto Velho,BR,2022-01-30 23:54:48,-8.7619,-63.9039,297.18,94,75,1.03
1,Khatanga,RU,2022-01-30 23:54:48,71.9667,102.5,252.42,98,98,3.95
2,Tiksi,RU,2022-01-30 23:51:40,71.6872,128.8694,245.06,100,97,1.91
3,Cape Town,ZA,2022-01-30 23:54:49,-33.9258,18.4232,294.88,78,0,0.89
4,Port Elizabeth,ZA,2022-01-30 23:54:50,-33.918,25.5701,294.31,94,20,5.14
5,Tuatapere,NZ,2022-01-30 23:50:59,-46.1333,167.6833,294.72,65,37,2.2
6,Chuy,UY,2022-01-30 23:54:50,-33.6971,-53.4616,294.8,78,13,6.32
7,Bengkulu,ID,2022-01-30 23:54:51,-3.8004,102.2655,297.51,88,97,2.16
8,Emba,KZ,2022-01-30 23:54:51,48.8264,58.1442,269.19,96,100,6.08
9,Hobart,AU,2022-01-30 23:54:52,-42.8794,147.3294,300.38,61,20,2.57
10,Atuona,PF,2022-01-30 23:54:52,-9.8,-139.0333,298.81,78,14,6.71
11,Thompson,CA,2022-01-30 23:52:36,55.7435,-97.8558,257.24,78,20,2.06
12,Punta Arenas,CL,2022-01-30 23:54:53,-53.15,-70.9167,283.21,57,75,11.83
13,Carnarvon,AU,2022-01-30 23:54:53,-24.8667,113.6333,300.19,69,41,7.72
14,Ucluelet,CA,2022-01-30 23:54:54,48.9329,-125.5528,279.31,86,99,4.92
15,Marsa Matruh,EG,2022-01-30 23:54:54,31.3525,27.2453,283.26,87,40,6.17
16,Rikitea,PF,2022-01-30 23:54:55,-23.1203,-134.9692,298.21,71,100,2.58
17,Vao,NC,2022-01-30 23:54:55,-22.6667,167.4833,299.36,83,94,4.36
18,Busselton,AU,2022-01-30 23:54:56,-33.65,115.3333,292.09,57,93,8.8
19,Coihaique,CL,2022-01-30 23:53:53,-45.5752,-72.0662,284.49,73,55,4.07
20,Nowy Targ,PL,2022-01-30 23:54:56,49.4778,20.0323,274.26,86,100,6.69
21,Sri Aman,MY,2022-01-30 23:54:57,1.2376,111.4621,297.18,100,92,0.0
22,Brazzaville,CG,2022-01-30 23:54:57,-4.2658,15.2832,300.32,88,20,1.03
23,Deputatskiy,RU,2022-01-30 23:54:58,69.3,139.9,241.43,100,64,0.79
24,Mataura,NZ,2022-01-30 23:54:58,-46.1927,168.8643,294.53,54,49,1.08
25,Bredasdorp,ZA,2022-01-30 23:54:58,-34.5322,20.0403,293.86,88,88,3.6
26,Bonthe,SL,2022-01-30 23:54:59,7.5264,-12.505,298.18,89,12,1.93
27,Barrow,US,2022-01-30 23:55:00,71.2906,-156.7887,246.8,100,79,3.98
28,Lumphat,KH,2022-01-30 23:55:00,13.4878,106.9816,296.19,80,63,2.07
29,Honningsvag,NO,2022-01-30 23:55:01,70.9821,25.9704,273.86,63,33,7.32
30,Ushuaia,AR,2022-01-30 23:54:49,-54.8,-68.3,279.96,70,40,12.86
31,Jamestown,US,2022-01-30 23:54:14,42.097,-79.2353,263.95,85,100,0.0
32,Padang,ID,2022-01-30 23:55:01,-0.9492,100.3543,296.18,87,97,1.56
33,Mikhaylovka,RU,2022-01-30 23:55:02,50.06,43.2379,273.03,95,100,7.18
34,Chokurdakh,RU,2022-01-30 23:55:03,70.6333,147.9167,238.9,96,16,0.99
35,Beyneu,KZ,2022-01-30 23:55:03,45.3167,55.2,273.64,81,100,6.92
36,Saint George,US,2022-01-30 23:50:13,37.1041,-113.5841,290.41,16,0,0.45
37,Hilo,US,2022-01-30 23:52:13,19.7297,-155.09,298.84,63,20,3.6
38,East London,ZA,2022-01-30 23:55:04,-33.0153,27.9116,296.57,84,88,6.28
39,Cairns,AU,2022-01-30 23:55:04,-16.9167,145.7667,305.9,68,100,1.54
40,Kudahuvadhoo,MV,2022-01-30 23:55:05,2.6708,72.8944,300.7,76,55,5.54
41,Arraial Do Cabo,BR,2022-01-30 23:55:05,-22.9661,-42.0278,296.61,92,94,3.02
42,Luderitz,NA,2022-01-30 23:55:06,-26.6481,15.1594,291.11,88,60,5.57
43,Caravelas,BR,2022-01-30 23:55:06,-17.7125,-39.2481,299.49,84,29,5.08
44,Mareeba,AU,2022-01-30 23:55:06,-17.0,145.4333,303.33,79,99,0.6
45,Birchis,RO,2022-01-30 23:56:07,45.9667,22.1667,273.97,81,77,3.94
46,Cabo San Lucas,MX,2022-01-30 23:51:19,22.8909,-109.9124,298.49,69,83,3.41
47,Kodiak,US,2022-01-30 23:55:57,57.79,-152.4072,271.25,78,46,2.31
48,Port Alfred,ZA,2022-01-30 23:56:08,-33.5906,26.891,296.01,90,98,7.31
49,Shimoda,JP,2022-01-30 23:56:08,34.6667,138.95,279.35,75,99,4.26
50,Sharjah,AE,2022-01-30 23:52:19,25.3573,55.4033,293.29,68,0,2.06
51,Provideniya,RU,2022-01-30 23:56:09,64.3833,-173.3,261.21,67,0,8.0
52,Qaanaaq,GL,2022-01-30 23:56:09,77.484,-69.3632,251.25,68,100,2.92
53,Paciran,ID,2022-01-30 23:56:09,-6.8767,112.3761,299.39,85,100,4.11
54,Saint-Francois,FR,2022-01-30 23:56:10,46.4154,3.9054,276.86,93,75,0.0
55,Nikolskoye,RU,2022-01-30 23:56:10,59.7035,30.7861,270.59,96,100,2.37
56,Mutsu,JP,2022-01-30 23:56:11,41.2894,141.2169,267.59,63,92,6.45
57,New Norfolk,AU,2022-01-30 23:56:11,-42.7826,147.0587,300.18,41,3,0.89
58,Atambua,ID,2022-01-30 23:56:12,-9.1061,124.8925,298.39,81,89,4.47
59,Cherskiy,RU,2022-01-30 23:56:12,68.75,161.3,239.7,99,98,0.73
60,Ratnagiri,IN,2022-01-30 23:56:13,16.9833,73.3,294.02,59,0,1.93
61,Calatayud,ES,2022-01-30 23:54:22,41.3535,-1.6432,282.47,38,0,2.2
62,Ormara,PK,2022-01-30 23:56:13,25.2088,64.6357,295.32,72,0,6.95
63,Kachiry,KZ,2022-01-30 23:56:14,53.0675,76.1036,258.62,94,98,3.65
64,Mar Del Plata,AR,2022-01-30 23:56:14,-38.0023,-57.5575,293.08,78,75,6.26
65,Curvelo,BR,2022-01-30 23:56:15,-18.7564,-44.4308,295.61,81,95,1.31
66,Jiexiu,CN,2022-01-30 23:56:15,37.0244,111.9125,266.31,50,0,3.09
67,Castro,BR,2022-01-30 23:56:15,-24.7911,-50.0119,290.24,99,98,3.92
68,Tasiilaq,GL,2022-01-30 23:56:16,65.6145,-37.6368,253.36,53,98,3.92
69,Ulverstone,AU,2022-01-30 23:51:43,-41.15,146.1667,297.16,66,9,2.58
70,Bluff,NZ,2022-01-30 23:56:17,-46.6,168.3333,294.71,84,82,2.33
71,Narrabri,AU,2022-01-30 23:54:10,-30.3167,149.7833,302.88,62,71,1.79
72,San Patricio,US,2022-01-30 23:53:05,28.017,-97.5169,293.2,68,63,4.93
73,Bogorodskoye,RU,2022-01-30 23:56:18,56.55,37.8833,268.76,92,100,4.97
74,Aguimes,ES,2022-01-30 23:56:18,27.9054,-15.4461,287.5,77,4,0.51
75,Paamiut,GL,2022-01-30 23:56:19,61.994,-49.6678,264.27,85,100,4.42
76,Kungurtug,RU,2022-01-30 23:56:19,50.5994,97.5228,242.12,97,23,0.68
77,Tombouctou,ML,2022-01-30 23:56:20,20.0,-3.0,294.63,15,85,5.58
78,Malumfashi,NG,2022-01-30 23:56:20,11.7853,7.6218,289.58,17,67,5.86
79,Tuy Hoa,VN,2022-01-30 23:53:02,13.0833,109.3,296.71,87,53,0.98
80,Zhezkazgan,KZ,2022-01-30 23:56:21,47.8043,67.7144,260.35,98,100,1.56
