City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
0,Rikitea,PF,-23.1203,-134.9692,298.88,65,71,3.43,broken clouds
1,Soligalich,RU,59.0778,42.2864,266.06,95,100,3.43,snow
2,Bondo,CD,3.8146,23.6866,290.72,55,37,1.0,scattered clouds
3,Soyo,AO,-6.1349,12.3689,298.43,89,98,2.47,light rain
4,Vaini,TO,-21.2,-175.2,300.24,74,58,6.99,light rain
5,Tasiilaq,GL,65.6145,-37.6368,262.24,80,84,3.45,broken clouds
6,Atuona,PF,-9.8,-139.0333,299.14,75,9,9.23,clear sky
7,Hermanus,ZA,-34.4187,19.2345,295.32,82,2,2.76,clear sky
8,Jaque,PA,7.5175,-78.1703,296.79,82,35,2.69,scattered clouds
9,Albany,US,42.6001,-73.9662,263.11,74,6,0.77,clear sky
10,Mataura,NZ,-46.1927,168.8643,301.4,40,100,0.82,overcast clouds
11,Kapaa,US,22.0752,-159.319,297.14,77,100,2.06,overcast clouds
12,Aquiraz,BR,-3.9014,-38.3911,301.03,82,97,3.81,overcast clouds
13,Constitucion,CL,-35.3333,-72.4167,287.0,74,0,1.57,clear sky
14,Lebu,CL,-37.6167,-73.65,286.92,82,0,7.47,clear sky
15,Karratha,AU,-20.7377,116.8463,304.59,62,100,5.68,overcast clouds
16,Norman Wells,CA,65.282,-126.8329,256.17,78,100,5.14,light snow
17,Ushuaia,AR,-54.8,-68.3,277.96,87,75,12.35,broken clouds
18,Helong,CN,42.5397,128.9972,266.71,50,13,4.68,few clouds
19,Vardo,NO,70.3705,31.1107,264.26,83,40,4.1,scattered clouds
20,Dingle,PH,10.9995,122.6711,301.95,71,93,5.85,overcast clouds
21,Hambantota,LK,6.1241,81.1185,302.34,74,20,5.66,few clouds
22,Cape Town,ZA,-33.9258,18.4232,295.44,81,0,0.45,clear sky
23,Tumbagaan,PH,5.3656,120.3139,301.14,73,11,1.85,few clouds
24,Sitka,US,57.0531,-135.33,275.09,87,100,0.0,overcast clouds
25,East London,ZA,-33.0153,27.9116,296.67,88,0,1.54,clear sky
26,Busselton,AU,-33.65,115.3333,298.75,30,0,4.6,clear sky
27,Bluff,NZ,-46.6,168.3333,290.2,83,100,5.92,overcast clouds
28,Dunedin,NZ,-45.8742,170.5036,292.48,81,99,1.34,overcast clouds
29,Airai,TL,-8.9266,125.4092,294.87,67,56,3.09,broken clouds
30,Sao Joao Da Barra,BR,-21.6403,-41.0511,297.46,90,100,3.76,overcast clouds
31,Hilo,US,19.7297,-155.09,296.0,79,75,2.06,broken clouds
32,Portland,US,45.5234,-122.6762,278.31,90,40,0.0,scattered clouds
33,Kushima,JP,31.4583,131.2333,287.17,57,82,5.49,light rain
34,Bredasdorp,ZA,-34.5322,20.0403,294.97,88,27,4.12,scattered clouds
35,Castro,BR,-24.7911,-50.0119,289.27,92,6,1.25,clear sky
36,Antsohihy,MG,-14.8796,47.9875,300.33,72,91,2.97,overcast clouds
37,Puerto Cabezas,NI,14.0351,-83.3888,294.34,83,2,2.73,clear sky
38,Missoula,US,47.0166,-113.8009,265.37,95,88,1.09,overcast clouds
39,Cherskiy,RU,68.75,161.3,252.93,88,100,2.66,overcast clouds
40,Mali,GN,12.079,-12.2982,289.46,17,46,1.01,scattered clouds
41,Hasaki,JP,35.7333,140.8333,283.31,43,98,2.24,overcast clouds
42,Narsaq,GL,60.9167,-46.05,269.27,97,94,1.13,overcast clouds
43,Jamestown,US,42.097,-79.2353,269.66,63,0,3.09,clear sky
44,Fortuna,US,40.5982,-124.1573,282.0,82,100,0.89,overcast clouds
45,Churapcha,RU,62.0025,132.4325,246.3,91,100,2.56,overcast clouds
46,Marsa Matruh,EG,31.3525,27.2453,284.26,76,40,6.17,scattered clouds
47,Dikson,RU,73.5069,80.5464,256.28,90,100,9.26,overcast clouds
48,Torbay,CA,47.6666,-52.7314,273.47,72,75,8.75,broken clouds
49,Apt,FR,43.8833,5.4,277.31,67,34,5.86,scattered clouds
50,Agucadoura,PT,41.4318,-8.7804,281.46,68,0,4.16,clear sky
51,Salalah,OM,17.0151,54.0924,293.2,52,20,1.03,few clouds
52,Severo-Kurilsk,RU,50.6789,156.125,271.47,71,98,6.68,overcast clouds
53,Praia,CV,14.9215,-23.5087,294.45,88,0,2.57,clear sky
54,Carnarvon,AU,-24.8667,113.6333,304.19,55,27,9.26,scattered clouds
55,Aklavik,CA,68.2191,-135.0107,251.61,98,100,1.1,overcast clouds
56,Hobart,AU,-42.8794,147.3294,296.07,56,0,9.77,clear sky
57,Puerto Ayora,EC,-0.7393,-90.3518,295.12,96,92,0.45,overcast clouds
58,Tarko-Sale,RU,64.9225,77.785,255.57,97,95,3.72,overcast clouds
59,Sangar,RU,63.9242,127.4739,239.8,97,89,1.75,overcast clouds
60,Dicabisagan,PH,17.0818,122.4157,296.66,85,99,2.88,overcast clouds
61,Dzilam Gonzalez,MX,21.2833,-88.9333,290.47,80,25,4.1,scattered clouds
62,Waipawa,NZ,-41.4122,175.5153,297.5,59,69,3.62,broken clouds
63,New Norfolk,AU,-42.7826,147.0587,295.87,43,38,3.58,scattered clouds
64,Marawi,PH,7.9986,124.2928,300.25,60,82,3.55,broken clouds
65,Khatanga,RU,71.9667,102.5,238.72,100,16,1.8,few clouds
66,Vila Velha,BR,-20.3297,-40.2925,296.12,96,100,1.79,heavy intensity rain
67,Harper,LR,4.375,-7.7169,298.25,86,81,1.66,broken clouds
68,Newport,GB,51.5877,-2.9984,283.07,86,95,0.45,overcast clouds
69,Takoradi,GH,4.8845,-1.7554,297.86,85,100,0.46,overcast clouds
70,Punta Arenas,CL,-53.15,-70.9167,281.21,71,75,10.29,light rain
71,Mehamn,NO,71.0357,27.8492,269.12,100,0,8.23,clear sky
72,Port Alfred,ZA,-33.5906,26.891,298.37,85,100,1.67,overcast clouds
73,Butaritari,KI,3.0707,172.7902,300.9,78,89,5.81,light rain
74,Longyearbyen,SJ,78.2186,15.6401,263.06,67,40,0.0,light snow
75,Ankang,CN,32.68,109.0172,280.68,42,97,4.14,light rain
76,The Valley,AI,18.217,-63.0578,298.2,83,20,3.09,few clouds
77,Sri Aman,MY,1.2376,111.4621,305.18,70,20,1.54,few clouds
78,Saint George,US,37.1041,-113.5841,283.9,32,0,3.13,clear sky
79,Mandalgovi,MN,45.7625,106.2708,261.24,33,3,3.88,clear sky
80,Clyde River,CA,70.4692,-68.5914,244.28,69,100,2.57,overcast clouds
81,Qaanaaq,GL,77.484,-69.3632,244.46,54,11,4.55,few clouds
82,Saint-Philippe,RE,-21.3585,55.7679,301.9,77,96,6.48,overcast clouds
83,Kununurra,AU,-15.7667,128.7333,306.14,62,92,6.69,overcast clouds
84,Ponta Do Sol,PT,32.6667,-17.1,291.55,43,9,6.19,clear sky
85,Hamilton,US,39.1834,-84.5333,274.62,74,0,0.89,clear sky
86,Alofi,NU,-19.0595,-169.9187,300.09,78,93,0.51,overcast clouds
87,Trud,BG,42.2333,24.7333,273.25,80,75,1.03,broken clouds
88,Acapulco,MX,16.8634,-99.8901,299.05,69,20,2.57,few clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,289.75,65,0,0.45,clear sky
90,Prainha,BR,-1.8,-53.48,295.9,97,94,1.17,overcast clouds
91,Lac-Megantic,CA,45.5834,-70.8823,258.16,100,95,1.53,overcast clouds
92,Nador,MA,35.174,-2.9287,291.29,32,0,6.69,clear sky
93,Kieta,PG,-6.2167,155.6333,302.36,69,100,3.78,overcast clouds
94,Xining,CN,36.6167,101.7667,266.36,43,47,0.96,scattered clouds
95,Muros,ES,42.7762,-9.0603,283.84,84,0,5.15,clear sky
96,Hithadhoo,MV,-0.6,73.0833,301.24,71,9,5.55,clear sky
97,Codrington,AU,-38.2667,141.9667,289.5,60,93,9.4,overcast clouds
98,Kodiak,US,57.79,-152.4072,274.88,87,100,4.12,light snow
99,Bathsheba,BB,13.2167,-59.5167,298.49,83,40,6.17,scattered clouds
100,Tynda,RU,55.1667,124.7167,256.13,71,25,3.37,scattered clouds
101,Sao Filipe,CV,14.8961,-24.4956,297.03,69,100,4.51,overcast clouds
102,Kailua,US,21.4022,-157.7394,297.14,77,20,0.0,few clouds
103,Ketchikan,US,55.3422,-131.6461,275.41,93,100,1.54,overcast clouds
104,Sesheke,ZM,-17.4759,24.2968,292.75,90,100,3.09,overcast clouds
105,Turayf,SA,31.6725,38.6637,273.29,93,0,2.57,clear sky
106,Nuuk,GL,64.1835,-51.7216,264.49,92,75,5.66,light snow
107,Chokurdakh,RU,70.6333,147.9167,247.81,96,100,0.84,overcast clouds
108,Tiksi,RU,71.6872,128.8694,249.37,100,100,2.38,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,298.51,90,100,6.65,overcast clouds
110,Isangel,VU,-19.55,169.2667,300.33,78,98,2.33,overcast clouds
111,Banjar,ID,-8.19,114.9675,305.07,70,39,2.63,scattered clouds
112,Barrow,US,71.2906,-156.7887,246.16,83,100,2.57,overcast clouds
113,Phulji,PK,26.8825,67.6807,295.13,24,0,1.39,clear sky
114,Lagoa,PT,39.05,-27.9833,288.14,74,61,9.65,broken clouds
115,Berlevag,NO,70.8578,29.0864,269.15,73,37,4.92,scattered clouds
116,Ulaanbaatar,MN,47.9077,106.8832,252.22,71,19,1.0,few clouds
117,Kavieng,PG,-2.5744,150.7967,299.4,87,98,6.99,moderate rain
118,Olenino,RU,56.2092,33.4889,267.16,97,100,1.85,overcast clouds
119,Rolla,US,37.9514,-91.7713,283.07,53,0,6.17,clear sky
120,Wuwei,CN,37.9281,102.6414,269.1,28,98,1.35,overcast clouds
121,Mahebourg,MU,-20.4081,57.7,301.07,78,75,6.69,broken clouds
122,Novoagansk,RU,61.9449,76.6625,260.17,95,100,2.55,light snow
123,Rocha,UY,-34.4833,-54.3333,286.15,72,1,0.28,clear sky
124,Bubaque,GW,11.2833,-15.8333,297.88,72,91,4.1,overcast clouds
125,Pochutla,MX,15.7432,-96.4661,298.62,81,0,2.31,clear sky
126,Fuyu,CN,45.1833,124.8167,260.76,72,11,4.03,few clouds
127,Lensk,RU,60.7253,114.9278,256.12,89,100,3.34,overcast clouds
128,Pisco,PE,-13.7,-76.2167,295.18,78,100,4.12,overcast clouds
129,Ulaangom,MN,49.9811,92.0667,245.28,94,100,1.48,overcast clouds
130,Provideniya,RU,64.3833,-173.3,261.21,56,75,7.0,broken clouds
131,Belaya Gora,RU,68.5333,146.4167,248.68,96,100,1.17,overcast clouds
132,Raymondville,US,26.4815,-97.7831,292.58,88,0,2.75,clear sky
133,Tamandare,BR,-8.7597,-35.1047,298.49,83,59,3.08,broken clouds
134,Seymchan,RU,62.8833,152.4333,251.43,96,100,4.01,overcast clouds
135,Lewistown,US,40.5992,-77.5714,268.99,96,0,0.0,mist
136,Whitecourt,CA,54.1502,-115.6855,254.73,78,75,6.17,broken clouds
137,Tautira,PF,-17.7333,-149.15,302.04,77,30,9.27,light rain
138,Marevo,RU,57.3146,32.0804,268.16,97,100,1.35,snow
139,Svay Rieng,KH,11.0879,105.7993,305.53,46,21,2.8,few clouds
140,Tuktoyaktuk,CA,69.4541,-133.0374,243.15,76,40,1.03,scattered clouds
141,Maniitsoq,GL,65.4167,-52.9,262.24,85,98,5.98,light snow
142,Henties Bay,NA,-22.116,14.2845,293.63,79,100,3.33,overcast clouds
143,Port Hardy,CA,50.6996,-127.4199,276.9,93,75,2.57,light intensity shower rain
144,Velyka Pysarivka,UA,50.4259,35.485,268.23,94,100,5.86,overcast clouds
145,Puerto Escondido,MX,15.85,-97.0667,299.61,69,40,4.12,scattered clouds
146,Chuy,UY,-33.6971,-53.4616,288.42,68,0,2.36,clear sky
147,Quatre Cocos,MU,-20.2078,57.7625,300.98,77,100,10.67,light rain
148,Monrovia,LR,6.3005,-10.7969,296.02,90,81,2.51,broken clouds
149,Mahon,ES,39.8885,4.2658,283.46,62,100,14.92,overcast clouds
150,Codo,BR,-4.4553,-43.8856,296.34,92,61,1.37,broken clouds
151,Pimentel,PE,-6.8367,-79.9342,294.43,80,36,3.96,scattered clouds
152,Bethel,US,41.3712,-73.414,266.87,70,0,0.0,clear sky
153,Iqaluit,CA,63.7506,-68.5145,239.09,73,0,1.03,clear sky
154,Vestmannaeyjar,IS,63.4427,-20.2734,273.62,74,25,13.04,scattered clouds
155,Bonavista,CA,48.6499,-53.1147,272.66,64,39,8.39,scattered clouds
156,Port Lincoln,AU,-34.7333,135.8667,291.89,56,40,9.51,scattered clouds
157,Arraial Do Cabo,BR,-22.9661,-42.0278,297.77,91,100,1.95,overcast clouds
158,Kungurtug,RU,50.5994,97.5228,254.45,90,30,0.68,scattered clouds
159,Victoria,HK,22.2855,114.1577,288.84,85,100,4.92,overcast clouds
160,Kuching,MY,1.55,110.3333,304.27,66,40,4.12,scattered clouds
161,Sarkand,KZ,45.41,79.9186,269.53,75,100,1.25,overcast clouds
